ESTADO,GENERO,GRAU_INSTRUCAO,ESTADO_CIVIL,COR_RACA,FAIXA_ETARIA_IBGE,CIDNAS_IGUAL_CIDCAND,CAND_PURA_S_COLIG,REELEICAO,SITUACAO_FINAL
PR,MASCULINO,SUPERIOR INCOMPLETO,SOLTEIRO(A),BRANCA,30 – 34 anos,NAO,SIM,N,NÃO ELEITO
RS,MASCULINO,ENSINO MÉDIO COMPLETO,SEPARADO(A) JUDICIALMENTE,BRANCA,50 – 54 anos,NAO,NAO,N,NÃO ELEITO
SC,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,45 – 49 anos,NAO,NAO,N,NÃO ELEITO
SC,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,70 – 74 anos,SIM,NAO,N,ELEITO
PR,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),BRANCA,30 – 34 anos,NAO,NAO,N,NÃO ELEITO
RS,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,45 – 49 anos,SIM,NAO,N,NÃO ELEITO
RS,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,50 – 54 anos,SIM,NAO,S,ELEITO
SC,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,40 – 44 anos,NAO,NAO,N,NÃO ELEITO
RS,MASCULINO,SUPERIOR COMPLETO,DIVORCIADO(A),BRANCA,35 – 39 anos,NAO,NAO,N,NÃO ELEITO
PR,MASCULINO,SUPERIOR COMPLETO,DIVORCIADO(A),BRANCA,60 – 64 anos,NAO,SIM,N,NÃO ELEITO
PR,MASCULINO,ENSINO MÉDIO COMPLETO,DIVORCIADO(A),BRANCA,40 – 44 anos,SIM,NAO,N,NÃO ELEITO
PR,FEMININO,SUPERIOR COMPLETO,CASADO(A),BRANCA,60 – 64 anos,NAO,NAO,N,NÃO ELEITO
PR,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,35 – 39 anos,NAO,SIM,N,NÃO ELEITO
RS,MASCULINO,SUPERIOR INCOMPLETO,SOLTEIRO(A),BRANCA,45 – 49 anos,NAO,NAO,N,ELEITO
PR,FEMININO,SUPERIOR COMPLETO,DIVORCIADO(A),BRANCA,45 – 49 anos,NAO,NAO,N,NÃO ELEITO
PR,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,CASADO(A),BRANCA,50 – 54 anos,SIM,NAO,N,NÃO ELEITO
RS,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,65 – 69 anos,SIM,SIM,N,ELEITO
PR,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,55 – 59 anos,SIM,NAO,N,NÃO ELEITO
PR,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,40 – 44 anos,NAO,NAO,S,NÃO ELEITO
RS,MASCULINO,ENSINO MÉDIO INCOMPLETO,CASADO(A),BRANCA,45 – 49 anos,SIM,SIM,N,NÃO ELEITO
PR,FEMININO,SUPERIOR COMPLETO,SOLTEIRO(A),BRANCA,50 – 54 anos,NAO,NAO,N,ELEITO
PR,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,45 – 49 anos,SIM,NAO,N,NÃO ELEITO
SC,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,45 – 49 anos,NAO,NAO,N,ELEITO
PR,FEMININO,SUPERIOR COMPLETO,VIÚVO(A),BRANCA,55 – 59 anos,NAO,NAO,S,ELEITO
RS,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,70 – 74 anos,SIM,SIM,N,NÃO ELEITO
RS,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,50 – 54 anos,SIM,NAO,N,NÃO ELEITO
SC,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),BRANCA,55 – 59 anos,NAO,SIM,N,NÃO ELEITO
RS,MASCULINO,SUPERIOR INCOMPLETO,SOLTEIRO(A),BRANCA,40 – 44 anos,NAO,NAO,N,ELEITO
RS,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,40 – 44 anos,SIM,NAO,N,NÃO ELEITO
SC,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),BRANCA,40 – 44 anos,NAO,NAO,N,ELEITO
SC,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,35 – 39 anos,SIM,SIM,N,NÃO ELEITO
RS,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),BRANCA,35 – 39 anos,NAO,NAO,N,ELEITO
PR,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,30 – 34 anos,NAO,NAO,N,ELEITO
RS,FEMININO,SUPERIOR COMPLETO,CASADO(A),BRANCA,35 – 39 anos,NAO,SIM,N,ELEITO
PR,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,SOLTEIRO(A),BRANCA,55 – 59 anos,NAO,NAO,N,ELEITO
SC,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,45 – 49 anos,NAO,NAO,N,NÃO ELEITO
RS,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,CASADO(A),BRANCA,50 – 54 anos,NAO,NAO,N,NÃO ELEITO
PR,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,50 – 54 anos,NAO,SIM,N,NÃO ELEITO
RS,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,55 – 59 anos,SIM,NAO,N,NÃO ELEITO
PR,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,35 – 39 anos,NAO,NAO,N,ELEITO
PR,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,40 – 44 anos,SIM,NAO,N,NÃO ELEITO
SC,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,65 – 69 anos,NAO,SIM,N,NÃO ELEITO
RS,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,55 – 59 anos,NAO,NAO,N,NÃO ELEITO
RS,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,50 – 54 anos,SIM,NAO,S,ELEITO
RS,MASCULINO,SUPERIOR INCOMPLETO,CASADO(A),BRANCA,60 – 64 anos,NAO,SIM,N,NÃO ELEITO
PR,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,30 – 34 anos,NAO,NAO,N,NÃO ELEITO
RS,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,55 – 59 anos,SIM,NAO,N,NÃO ELEITO
SC,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,55 – 59 anos,NAO,NAO,N,NÃO ELEITO
PR,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,CASADO(A),BRANCA,55 – 59 anos,NAO,SIM,N,NÃO ELEITO
RS,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,50 – 54 anos,NAO,NAO,N,ELEITO
PR,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,55 – 59 anos,NAO,NAO,N,NÃO ELEITO
SC,FEMININO,SUPERIOR COMPLETO,CASADO(A),BRANCA,35 – 39 anos,NAO,SIM,N,NÃO ELEITO
PR,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,45 – 49 anos,SIM,NAO,N,ELEITO
SC,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,40 – 44 anos,NAO,SIM,N,NÃO ELEITO
SC,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,CASADO(A),BRANCA,45 – 49 anos,SIM,NAO,N,ELEITO
RS,MASCULINO,ENSINO MÉDIO COMPLETO,SEPARADO(A) JUDICIALMENTE,BRANCA,45 – 49 anos,SIM,SIM,N,NÃO ELEITO
PR,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,65 – 69 anos,NAO,NAO,N,ELEITO
RS,MASCULINO,ENSINO MÉDIO COMPLETO,DIVORCIADO(A),BRANCA,60 – 64 anos,SIM,NAO,N,NÃO ELEITO
PR,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,40 – 44 anos,NAO,SIM,N,NÃO ELEITO
RS,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,50 – 54 anos,NAO,SIM,N,NÃO ELEITO
SC,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,CASADO(A),BRANCA,65 – 69 anos,NAO,SIM,N,NÃO ELEITO
RS,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,55 – 59 anos,NAO,NAO,N,NÃO ELEITO
PR,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,50 – 54 anos,NAO,NAO,N,NÃO ELEITO
RS,MASCULINO,SUPERIOR INCOMPLETO,CASADO(A),BRANCA,35 – 39 anos,NAO,SIM,N,NÃO ELEITO
RS,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,DIVORCIADO(A),BRANCA,55 – 59 anos,SIM,SIM,N,NÃO ELEITO
PR,MASCULINO,SUPERIOR COMPLETO,DIVORCIADO(A),BRANCA,50 – 54 anos,NAO,NAO,N,NÃO ELEITO
SC,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,35 – 39 anos,NAO,SIM,N,NÃO ELEITO
RS,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,50 – 54 anos,NAO,NAO,N,ELEITO
RS,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,35 – 39 anos,NAO,NAO,N,NÃO ELEITO
RS,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,50 – 54 anos,SIM,NAO,N,NÃO ELEITO
SC,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,55 – 59 anos,NAO,SIM,N,NÃO ELEITO
RS,MASCULINO,SUPERIOR INCOMPLETO,SOLTEIRO(A),BRANCA,60 – 64 anos,NAO,NAO,N,NÃO ELEITO
RS,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,65 – 69 anos,NAO,NAO,S,ELEITO
SC,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,60 – 64 anos,NAO,NAO,N,ELEITO
PR,FEMININO,SUPERIOR COMPLETO,CASADO(A),PARDA,60 – 64 anos,NAO,NAO,N,NÃO ELEITO
SC,FEMININO,SUPERIOR COMPLETO,SOLTEIRO(A),BRANCA,35 – 39 anos,NAO,NAO,S,ELEITO
PR,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,50 – 54 anos,NAO,SIM,N,NÃO ELEITO
SC,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,65 – 69 anos,NAO,NAO,N,NÃO ELEITO
PR,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,55 – 59 anos,NAO,NAO,N,ELEITO
PR,MASCULINO,SUPERIOR COMPLETO,DIVORCIADO(A),BRANCA,45 – 49 anos,NAO,SIM,N,NÃO ELEITO
SC,FEMININO,ENSINO FUNDAMENTAL INCOMPLETO,CASADO(A),BRANCA,35 – 39 anos,NAO,SIM,N,NÃO ELEITO
RS,FEMININO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),BRANCA,55 – 59 anos,NAO,SIM,N,NÃO ELEITO
RS,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,50 – 54 anos,SIM,NAO,N,ELEITO
RS,FEMININO,SUPERIOR COMPLETO,CASADO(A),BRANCA,60 – 64 anos,NAO,SIM,N,NÃO ELEITO
RS,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,45 – 49 anos,SIM,SIM,N,NÃO ELEITO
SC,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,DIVORCIADO(A),BRANCA,55 – 59 anos,SIM,SIM,N,NÃO ELEITO
PR,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,55 – 59 anos,SIM,NAO,N,NÃO ELEITO
PR,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,45 – 49 anos,SIM,SIM,N,NÃO ELEITO
PR,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,40 – 44 anos,NAO,NAO,N,NÃO ELEITO
SC,FEMININO,SUPERIOR COMPLETO,CASADO(A),BRANCA,40 – 44 anos,NAO,NAO,N,NÃO ELEITO
RS,FEMININO,SUPERIOR COMPLETO,CASADO(A),BRANCA,45 – 49 anos,SIM,NAO,N,NÃO ELEITO
SC,MASCULINO,ENSINO MÉDIO INCOMPLETO,SOLTEIRO(A),BRANCA,55 – 59 anos,NAO,NAO,N,ELEITO
RS,MASCULINO,SUPERIOR COMPLETO,DIVORCIADO(A),BRANCA,60 – 64 anos,NAO,SIM,N,NÃO ELEITO
PR,FEMININO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,50 – 54 anos,NAO,NAO,N,NÃO ELEITO
SC,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,45 – 49 anos,NAO,SIM,N,NÃO ELEITO
PR,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,65 – 69 anos,SIM,NAO,N,NÃO ELEITO
SC,MASCULINO,SUPERIOR COMPLETO,VIÚVO(A),BRANCA,50 – 54 anos,NAO,NAO,N,NÃO ELEITO
PR,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,30 – 34 anos,NAO,SIM,N,NÃO ELEITO
PR,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,CASADO(A),BRANCA,45 – 49 anos,NAO,SIM,N,NÃO ELEITO
SC,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,40 – 44 anos,NAO,SIM,N,ELEITO
RS,MASCULINO,SUPERIOR COMPLETO,VIÚVO(A),BRANCA,60 – 64 anos,NAO,SIM,N,NÃO ELEITO
PR,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,50 – 54 anos,NAO,NAO,N,NÃO ELEITO
RS,MASCULINO,SUPERIOR INCOMPLETO,CASADO(A),BRANCA,65 – 69 anos,SIM,SIM,N,NÃO ELEITO
SC,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),BRANCA,50 – 54 anos,SIM,SIM,N,NÃO ELEITO
SC,MASCULINO,ENSINO MÉDIO INCOMPLETO,CASADO(A),BRANCA,60 – 64 anos,NAO,NAO,N,NÃO ELEITO
RS,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,CASADO(A),BRANCA,50 – 54 anos,NAO,NAO,S,ELEITO
RS,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,50 – 54 anos,SIM,NAO,N,ELEITO
RS,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,SOLTEIRO(A),PARDA,40 – 44 anos,NAO,NAO,N,NÃO ELEITO
PR,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,50 – 54 anos,NAO,NAO,N,NÃO ELEITO
SC,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,55 – 59 anos,NAO,NAO,N,ELEITO
SC,MASCULINO,SUPERIOR COMPLETO,DIVORCIADO(A),BRANCA,50 – 54 anos,SIM,NAO,N,NÃO ELEITO
PR,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,45 – 49 anos,NAO,NAO,S,ELEITO
PR,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,35 – 39 anos,NAO,NAO,N,ELEITO
RS,MASCULINO,LÊ E ESCREVE,SOLTEIRO(A),BRANCA,65 – 69 anos,NAO,NAO,N,NÃO ELEITO
RS,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),BRANCA,40 – 44 anos,NAO,NAO,N,NÃO ELEITO
PR,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,60 – 64 anos,SIM,NAO,N,NÃO ELEITO
RS,MASCULINO,SUPERIOR INCOMPLETO,SOLTEIRO(A),PRETA,45 – 49 anos,SIM,NAO,N,NÃO ELEITO
SC,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,60 – 64 anos,SIM,NAO,S,ELEITO
RS,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),BRANCA,60 – 64 anos,NAO,SIM,N,NÃO ELEITO
RS,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),BRANCA,55 – 59 anos,SIM,SIM,N,NÃO ELEITO
PR,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,60 – 64 anos,SIM,SIM,N,NÃO ELEITO
RS,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,CASADO(A),BRANCA,70 – 74 anos,NAO,NAO,N,NÃO ELEITO
PR,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,35 – 39 anos,NAO,NAO,S,ELEITO
SC,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,55 – 59 anos,NAO,NAO,N,NÃO ELEITO
PR,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),PRETA,40 – 44 anos,NAO,NAO,N,NÃO ELEITO
RS,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,65 – 69 anos,NAO,NAO,S,ELEITO
RS,MASCULINO,ENSINO MÉDIO COMPLETO,DIVORCIADO(A),BRANCA,45 – 49 anos,NAO,NAO,S,ELEITO
SC,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),BRANCA,35 – 39 anos,SIM,SIM,S,ELEITO
RS,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),BRANCA,55 – 59 anos,NAO,NAO,N,NÃO ELEITO
SC,MASCULINO,SUPERIOR INCOMPLETO,CASADO(A),BRANCA,40 – 44 anos,NAO,SIM,N,NÃO ELEITO
PR,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,CASADO(A),PARDA,60 – 64 anos,NAO,NAO,N,NÃO ELEITO
RS,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),BRANCA,55 – 59 anos,SIM,SIM,N,NÃO ELEITO
SC,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,45 – 49 anos,SIM,NAO,N,NÃO ELEITO
SC,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),BRANCA,45 – 49 anos,NAO,SIM,N,NÃO ELEITO
PR,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,40 – 44 anos,NAO,SIM,N,NÃO ELEITO
SC,FEMININO,SUPERIOR COMPLETO,DIVORCIADO(A),BRANCA,40 – 44 anos,SIM,NAO,N,ELEITO
RS,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,CASADO(A),BRANCA,60 – 64 anos,NAO,NAO,N,NÃO ELEITO
PR,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,CASADO(A),PARDA,60 – 64 anos,NAO,NAO,N,NÃO ELEITO
PR,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,40 – 44 anos,NAO,NAO,N,ELEITO
SC,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,55 – 59 anos,NAO,NAO,N,ELEITO
RS,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,60 – 64 anos,SIM,SIM,N,NÃO ELEITO
SC,FEMININO,SUPERIOR COMPLETO,CASADO(A),PARDA,40 – 44 anos,NAO,SIM,N,ELEITO
RS,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,55 – 59 anos,NAO,SIM,N,ELEITO
SC,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,35 – 39 anos,SIM,NAO,N,ELEITO
PR,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,40 – 44 anos,NAO,NAO,N,NÃO ELEITO
RS,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,60 – 64 anos,SIM,NAO,N,ELEITO
SC,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,65 – 69 anos,SIM,NAO,N,ELEITO
PR,MASCULINO,LÊ E ESCREVE,CASADO(A),BRANCA,60 – 64 anos,NAO,SIM,N,NÃO ELEITO
PR,FEMININO,SUPERIOR COMPLETO,CASADO(A),PARDA,55 – 59 anos,NAO,NAO,N,NÃO ELEITO
PR,MASCULINO,SUPERIOR INCOMPLETO,CASADO(A),BRANCA,60 – 64 anos,NAO,NAO,N,NÃO ELEITO
PR,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,60 – 64 anos,NAO,NAO,N,ELEITO
RS,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,50 – 54 anos,NAO,SIM,S,ELEITO
SC,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,45 – 49 anos,SIM,SIM,N,ELEITO
RS,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,50 – 54 anos,SIM,NAO,S,NÃO ELEITO
RS,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,CASADO(A),BRANCA,65 – 69 anos,SIM,SIM,N,NÃO ELEITO
RS,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,CASADO(A),PARDA,50 – 54 anos,SIM,NAO,N,NÃO ELEITO
PR,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,50 – 54 anos,SIM,SIM,N,NÃO ELEITO
SC,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,CASADO(A),BRANCA,60 – 64 anos,NAO,NAO,N,ELEITO
SC,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,55 – 59 anos,NAO,SIM,N,NÃO ELEITO
RS,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,35 – 39 anos,NAO,NAO,N,NÃO ELEITO
RS,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),BRANCA,35 – 39 anos,NAO,SIM,N,NÃO ELEITO
PR,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,40 – 44 anos,NAO,NAO,N,NÃO ELEITO
SC,MASCULINO,SUPERIOR INCOMPLETO,SOLTEIRO(A),BRANCA,25 – 29 anos,NAO,NAO,N,NÃO ELEITO
PR,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,55 – 59 anos,NAO,NAO,N,NÃO ELEITO
SC,FEMININO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,45 – 49 anos,SIM,NAO,N,ELEITO
PR,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,30 – 34 anos,SIM,SIM,N,NÃO ELEITO
PR,FEMININO,SUPERIOR COMPLETO,CASADO(A),BRANCA,55 – 59 anos,SIM,SIM,N,ELEITO
PR,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,50 – 54 anos,NAO,NAO,N,NÃO ELEITO
RS,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,35 – 39 anos,NAO,NAO,N,ELEITO
PR,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,60 – 64 anos,SIM,NAO,N,NÃO ELEITO
RS,MASCULINO,ENSINO MÉDIO COMPLETO,VIÚVO(A),BRANCA,45 – 49 anos,NAO,NAO,N,ELEITO
RS,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),BRANCA,45 – 49 anos,NAO,NAO,S,ELEITO
RS,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,45 – 49 anos,SIM,SIM,N,NÃO ELEITO
RS,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,CASADO(A),BRANCA,45 – 49 anos,NAO,NAO,N,NÃO ELEITO
RS,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),BRANCA,50 – 54 anos,SIM,NAO,N,NÃO ELEITO
PR,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,55 – 59 anos,NAO,NAO,N,NÃO ELEITO
PR,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,55 – 59 anos,SIM,SIM,N,NÃO ELEITO
PR,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,CASADO(A),BRANCA,70 – 74 anos,NAO,NAO,N,ELEITO
SC,MASCULINO,ENSINO MÉDIO INCOMPLETO,SOLTEIRO(A),BRANCA,55 – 59 anos,SIM,NAO,N,NÃO ELEITO
SC,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,CASADO(A),BRANCA,60 – 64 anos,SIM,NAO,N,ELEITO
RS,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,50 – 54 anos,SIM,NAO,N,ELEITO
RS,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,45 – 49 anos,NAO,NAO,N,NÃO ELEITO
RS,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),PRETA,35 – 39 anos,SIM,NAO,N,NÃO ELEITO
PR,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),BRANCA,35 – 39 anos,NAO,SIM,N,NÃO ELEITO
PR,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),BRANCA,45 – 49 anos,NAO,NAO,N,NÃO ELEITO
RS,FEMININO,SUPERIOR COMPLETO,CASADO(A),BRANCA,40 – 44 anos,NAO,NAO,S,NÃO ELEITO
RS,MASCULINO,SUPERIOR INCOMPLETO,SOLTEIRO(A),BRANCA,25 – 29 anos,NAO,NAO,N,NÃO ELEITO
SC,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),BRANCA,55 – 59 anos,NAO,NAO,N,NÃO ELEITO
RS,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,60 – 64 anos,SIM,NAO,N,ELEITO
RS,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,CASADO(A),BRANCA,45 – 49 anos,NAO,NAO,N,ELEITO
RS,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,50 – 54 anos,NAO,NAO,N,NÃO ELEITO
RS,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),SEM INFORMAÇÃO,40 – 44 anos,SIM,NAO,N,NÃO ELEITO
RS,MASCULINO,ENSINO MÉDIO INCOMPLETO,CASADO(A),BRANCA,45 – 49 anos,NAO,NAO,N,NÃO ELEITO
SC,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,40 – 44 anos,NAO,NAO,S,NÃO ELEITO
PR,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,40 – 44 anos,NAO,NAO,S,ELEITO
PR,MASCULINO,SUPERIOR INCOMPLETO,CASADO(A),BRANCA,50 – 54 anos,SIM,SIM,N,NÃO ELEITO
SC,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,SOLTEIRO(A),BRANCA,55 – 59 anos,NAO,SIM,N,NÃO ELEITO
SC,MASCULINO,SUPERIOR COMPLETO,DIVORCIADO(A),BRANCA,35 – 39 anos,SIM,SIM,N,ELEITO
PR,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,60 – 64 anos,SIM,NAO,S,ELEITO
RS,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,50 – 54 anos,SIM,NAO,N,ELEITO
RS,MASCULINO,LÊ E ESCREVE,CASADO(A),BRANCA,75 anos ou superior,NAO,SIM,N,NÃO ELEITO
SC,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,45 – 49 anos,NAO,SIM,N,ELEITO
RS,MASCULINO,SUPERIOR INCOMPLETO,CASADO(A),BRANCA,50 – 54 anos,SIM,NAO,N,NÃO ELEITO
RS,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),BRANCA,35 – 39 anos,SIM,NAO,N,ELEITO
